Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,Structure_Context,Fibo_Target,SL,Peak_Price,Mode,status
TH_192330,Gamma_HEDGE_REVERSAL,SHORT,2025-01-19 23:30:00,309.99,2025-01-20 01:00:00,302.2,0.02512984289815807,SL_HIT,HEDGE_REVERSAL|MACD:-3.6784|Dist:0.015,283.64085,302.1112,299.12,HEDGE_REVERSAL,CLOSED
TH_200730,Gamma_HEDGE_REVERSAL,LONG,2025-01-20 07:30:00,352.62,2025-01-20 09:15:00,346.32,-0.017866258295048527,SL_HIT,HEDGE_REVERSAL|MACD:4.6577|Dist:0.018,382.5927,347.3307,362.23,HEDGE_REVERSAL,CLOSED
TH_230215,Gamma_HEDGE_REVERSAL,SHORT,2025-01-23 02:15:00,337.28,2025-01-23 14:30:00,344.07,-0.02013164136622397,SL_HIT,HEDGE_REVERSAL|MACD:-0.9776|Dist:0.052,308.6112,342.33919999999995,330.98,HEDGE_REVERSAL,CLOSED
TH_240600,Gamma_HEDGE_REVERSAL,LONG,2025-01-24 06:00:00,346.1,2025-01-24 20:45:00,340.47,-0.016266974862756415,SL_HIT,HEDGE_REVERSAL|MACD:1.7439|Dist:0.015,375.5185,340.9085,354.01,HEDGE_REVERSAL,CLOSED
TH_270000,Gamma_HEDGE_REVERSAL,SHORT,2025-01-27 00:00:00,317.35,2025-01-27 03:15:00,305.96,0.03589097211280933,SL_HIT,HEDGE_REVERSAL|MACD:-1.1484|Dist:0.041,290.37525000000005,305.4038,302.38,HEDGE_REVERSAL,CLOSED
TH_301100,Gamma_HEDGE_REVERSAL,LONG,2025-01-30 11:00:00,307.43,2025-01-30 18:15:00,314.08,0.02163094037667104,SL_HIT,HEDGE_REVERSAL|MACD:0.1275|Dist:0.028,333.56155,314.90909999999997,318.09,HEDGE_REVERSAL,CLOSED
TH_311315,Gamma_HEDGE_REVERSAL,LONG,2025-01-31 13:15:00,328.37,2025-01-31 17:00:00,339.18,0.03292018150257332,SL_HIT,HEDGE_REVERSAL|MACD:0.8317|Dist:0.013,356.28145,342.75780000000003,346.22,HEDGE_REVERSAL,CLOSED
TH_012230,Gamma_HEDGE_REVERSAL,SHORT,2025-02-01 22:30:00,300.78,2025-02-02 05:00:00,291.94,0.02939025201143685,SL_HIT,HEDGE_REVERSAL|MACD:-0.5165|Dist:0.028,275.21369999999996,291.1325,288.25,HEDGE_REVERSAL,CLOSED
TH_021800,Gamma_HEDGE_REVERSAL,SHORT,2025-02-02 18:00:00,266.67,2025-02-02 22:45:00,257.97,0.03262459219259755,SL_HIT,HEDGE_REVERSAL|MACD:-1.6389|Dist:0.099,244.00305000000003,255.6108,253.08,HEDGE_REVERSAL,CLOSED
TH_030200,Gamma_HEDGE_REVERSAL,SHORT,2025-02-03 02:00:00,219.06,2025-02-03 03:00:00,225.38,-0.02885054323016522,SL_HIT,HEDGE_REVERSAL|MACD:-2.9792|Dist:0.021,200.43990000000002,222.34589999999997,217.22,HEDGE_REVERSAL,CLOSED
TH_030330,Gamma_HEDGE_REVERSAL,SHORT,2025-02-03 03:30:00,227.04,2025-02-03 06:15:00,232.86,-0.02563424947145887,SL_HIT,HEDGE_REVERSAL|MACD:-0.3659|Dist:0.034,207.7416,230.44559999999996,222.2,HEDGE_REVERSAL,CLOSED
TH_030800,Gamma_HEDGE_REVERSAL,LONG,2025-02-03 08:00:00,242.4,2025-02-03 08:15:00,237.64,-0.019636963696369716,SL_HIT,HEDGE_REVERSAL|MACD:2.9249|Dist:0.025,263.004,238.764,242.4,HEDGE_REVERSAL,CLOSED
TH_040300,Gamma_HEDGE_REVERSAL,SHORT,2025-02-04 03:00:00,269.13,2025-02-04 06:00:00,256.99,0.04510831196819376,SL_HIT,HEDGE_REVERSAL|MACD:-1.4011|Dist:0.014,246.25395,254.6816,252.16,HEDGE_REVERSAL,CLOSED
TH_061500,Gamma_HEDGE_REVERSAL,SHORT,2025-02-06 15:00:00,253.97,2025-02-06 20:30:00,245.63,0.0328385242351459,SL_HIT,HEDGE_REVERSAL|MACD:-0.7178|Dist:0.033,232.38255,244.8341,242.41,HEDGE_REVERSAL,CLOSED
TH_071200,Gamma_HEDGE_REVERSAL,LONG,2025-02-07 12:00:00,253.61,2025-02-07 16:00:00,249.25,-0.01719175111391512,SL_HIT,HEDGE_REVERSAL|MACD:0.5670|Dist:0.024,275.16685,249.80585000000002,261.13,HEDGE_REVERSAL,CLOSED
TH_072245,Gamma_HEDGE_REVERSAL,SHORT,2025-02-07 22:45:00,233.93,2025-02-07 23:45:00,237.93,-0.017099132219039883,SL_HIT,HEDGE_REVERSAL|MACD:-0.3632|Dist:0.013,214.04595,237.43894999999998,233.89,HEDGE_REVERSAL,CLOSED
TH_101915,Gamma_HEDGE_REVERSAL,LONG,2025-02-10 19:15:00,255.42,2025-02-10 21:45:00,251.02,-0.017226528854435742,SL_HIT,HEDGE_REVERSAL|MACD:0.3808|Dist:0.025,277.1307,251.5887,255.42,HEDGE_REVERSAL,CLOSED
TH_110145,Gamma_HEDGE_REVERSAL,LONG,2025-02-11 01:45:00,258.36,2025-02-11 13:15:00,253.53,-0.018694844403158432,SL_HIT,HEDGE_REVERSAL|MACD:0.6496|Dist:0.037,280.3206,254.4846,261.06,HEDGE_REVERSAL,CLOSED
