Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,Structure_Context,Fibo_Target,SL,Peak_Price,status
SN_131000,Sniper_1H_1m,SHORT,2025-04-13 10:00:00,145.61,2025-04-13 11:20:00,142.77,0.01950415493441387,TP_SNIPER,NearLevel:144.36|Dist:0.0002,142.98902,146.48366000000001,145.61,CLOSED
SN_131121,Sniper_1H_1m,LONG,2025-04-13 11:21:00,142.79,2025-04-13 13:37:00,141.86,-0.006513061138735054,SL_SNIPER,NearLevel:143.48|Dist:0.0023,145.36022,141.93326,142.79,CLOSED
SN_131705,Sniper_1H_1m,SHORT,2025-04-13 17:05:00,142.0,2025-04-13 17:19:00,142.98,-0.006901408450704153,SL_SNIPER,NearLevel:144.89|Dist:0.0014,139.444,142.852,142.0,CLOSED
SN_131720,Sniper_1H_1m,SHORT,2025-04-13 17:20:00,143.69,2025-04-13 17:44:00,144.78,-0.007585774932145615,SL_SNIPER,NearLevel:144.89|Dist:0.0014,141.10358,144.55214,143.69,CLOSED
SN_131745,Sniper_1H_1m,SHORT,2025-04-13 17:45:00,144.9,2025-04-13 17:50:00,145.85,-0.006556245686680391,SL_SNIPER,NearLevel:144.89|Dist:0.0014,142.2918,145.76940000000002,144.9,CLOSED
SN_131751,Sniper_1H_1m,SHORT,2025-04-13 17:51:00,145.92,2025-04-13 19:09:00,142.94,0.02042214912280695,TP_SNIPER,NearLevel:144.89|Dist:0.0014,143.29343999999998,146.79551999999998,145.92,CLOSED
SN_132302,Sniper_1H_1m,SHORT,2025-04-13 23:02:00,138.38,2025-04-13 23:54:00,139.28,-0.006503830033241839,SL_SNIPER,NearLevel:138.71|Dist:0.0023,135.88916,139.21027999999998,138.38,CLOSED
SN_132355,Sniper_1H_1m,SHORT,2025-04-13 23:55:00,139.38,2025-04-14 00:12:00,140.24,-0.006170182235614964,SL_SNIPER,NearLevel:138.71|Dist:0.0023,136.87116,140.21627999999998,139.38,CLOSED
SN_140013,Sniper_1H_1m,SHORT,2025-04-14 00:13:00,140.52,2025-04-14 00:20:00,141.52,-0.007116424708226586,SL_SNIPER,NearLevel:141.29|Dist:0.0019,137.99064,141.36312,140.52,CLOSED
SN_140021,Sniper_1H_1m,SHORT,2025-04-14 00:21:00,142.04,2025-04-14 02:26:00,143.11,-0.007533089270628145,SL_SNIPER,NearLevel:141.29|Dist:0.0019,139.48327999999998,142.89224,142.04,CLOSED
SN_140439,Sniper_1H_1m,SHORT,2025-04-14 04:39:00,142.93,2025-04-14 04:49:00,143.8,-0.006086895683201599,SL_SNIPER,NearLevel:142.67|Dist:0.0020,140.35726,143.78758000000002,142.93,CLOSED
SN_140450,Sniper_1H_1m,SHORT,2025-04-14 04:50:00,143.53,2025-04-14 05:44:00,140.85,0.018672054622727002,TP_SNIPER,NearLevel:142.67|Dist:0.0020,140.94646,144.39118,143.53,CLOSED
SN_140545,Sniper_1H_1m,LONG,2025-04-14 05:45:00,140.84,2025-04-14 10:21:00,143.98,0.022294802612893967,TP_SNIPER,NearLevel:141.47|Dist:0.0019,143.37512,139.99496,140.84,CLOSED
SN_141129,Sniper_1H_1m,LONG,2025-04-14 11:29:00,145.58,2025-04-14 12:14:00,144.61,-0.006663003159774686,SL_SNIPER,NearLevel:145.43|Dist:0.0006,148.20044000000001,144.70652,145.58,CLOSED
SN_141215,Sniper_1H_1m,LONG,2025-04-14 12:15:00,144.74,2025-04-14 13:40:00,143.81,-0.006425314356777717,SL_SNIPER,NearLevel:145.43|Dist:0.0013,147.34532000000002,143.87156000000002,144.74,CLOSED
