Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,Structure_Context,Fibo_Target,SL,Peak_Price,status
TH_200300,Gamma_Hybrid,SHORT,2025-05-20 03:00:00,263.48,2025-05-27 08:15:00,276.8,-0.050554121754971884,SL_ATR_DYNAMIC,RSI_Reversal,197.75,276.29,243.25,CLOSED
TH_270830,Gamma_Hybrid,SHORT,2025-05-27 08:30:00,276.05,2025-05-28 23:00:00,263.63,0.04499184930266262,TRAILING_STOP_SMART,RSI_Reversal,258.8,282.8214285714286,260.63,CLOSED
TH_290100,Gamma_Hybrid,SHORT,2025-05-29 01:00:00,269.89,2025-05-29 21:45:00,255.27,0.05417021749601681,TRAILING_STOP_SMART,RSI_Reversal,251.31,275.7785714285714,253.17,CLOSED
TH_300000,Gamma_Hybrid,LONG,2025-05-30 00:00:00,250.09,2025-05-30 00:45:00,242.61,-0.029909232676236512,SL_ATR_DYNAMIC,RSI_Reversal,295.44,246.09571428571428,250.09,CLOSED
TH_300100,Gamma_Hybrid,LONG,2025-05-30 01:00:00,246.36,2025-06-01 01:45:00,239.33,-0.028535476538399093,SL_ATR_DYNAMIC,RSI_Reversal,295.44,239.58428571428573,255.58,CLOSED
TH_010215,Gamma_Hybrid,LONG,2025-06-01 02:15:00,240.11,2025-06-03 13:00:00,264.83,0.10295281329390683,TP_FIBONACCI_EXT,RSI_Reversal,264.77,233.65357142857147,264.83,CLOSED
TH_031400,Gamma_Hybrid,SHORT,2025-06-03 14:00:00,266.1,2025-06-04 14:45:00,273.52,-0.027884254039834494,SL_ATR_DYNAMIC,RSI_Reversal,250.54,272.49857142857144,263.2,CLOSED
TH_041930,Gamma_Hybrid,LONG,2025-06-04 19:30:00,266.47,2025-06-05 07:30:00,261.49,-0.018688782977445934,SL_ATR_DYNAMIC,RSI_Reversal,283.94,261.95071428571435,266.47,CLOSED
TH_050815,Gamma_Hybrid,LONG,2025-06-05 08:15:00,261.97,2025-06-05 16:15:00,256.67,-0.02023132419742723,SL_ATR_DYNAMIC,RSI_Reversal,269.05,257.7121428571429,265.92,CLOSED
TH_051700,Gamma_Hybrid,LONG,2025-06-05 17:00:00,255.77,2025-06-05 20:00:00,247.29,-0.033154787504398556,SL_ATR_DYNAMIC,RSI_Reversal,269.74,249.31571428571428,255.77,CLOSED
