Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,SL,Peak_Price,status,Rem_Qty,TP1_Hit,TP2_Hit
FL_0734,Flash_Reversal,SHORT,2025-04-22 07:34:00,147.05,2025-04-22 08:04:00,147.23,-0.0012240734444065174,SL_HIT,147.1815,146.93,CLOSED,0.2,True,True
FL_2149,Flash_Reversal,SHORT,2025-04-22 21:49:00,158.46,2025-04-22 22:17:00,157.49,0.0061214186545500366,SL_HIT,157.48700000000002,156.71,CLOSED,0.2,True,True
FL_0110,Flash_Reversal,SHORT,2025-04-23 01:10:00,160.62,2025-04-23 01:35:00,160.97,-0.002179056157390078,SL_HIT,160.62,160.62,CLOSED,0.4,True,False
FL_1446,Flash_Reversal,SHORT,2025-04-25 14:46:00,167.81,2025-04-25 15:00:00,167.83,-0.00011918240867654032,SL_HIT,167.81,167.81,CLOSED,0.4,True,False
FL_1314,Flash_Reversal,LONG,2025-04-30 13:14:00,157.94,2025-04-30 13:30:00,158.59,0.004115486893757159,SL_HIT,158.74650000000003,159.26,CLOSED,0.2,True,True
FL_2205,Flash_Reversal,SHORT,2025-05-06 22:05:00,173.33,2025-05-06 22:43:00,176.12,-0.01609646339352675,SL_HIT,175.92995,173.33,CLOSED,1.0,False,False
FL_0101,Flash_Reversal,SHORT,2025-05-08 01:01:00,175.45,2025-05-08 01:20:00,175.0,0.002564833285836356,SL_HIT,174.58859999999999,173.72,CLOSED,0.2,True,True
FL_0345,Flash_Reversal,SHORT,2025-05-08 03:45:00,183.66,2025-05-08 03:57:00,186.5,-0.01546335620167703,SL_HIT,186.4149,183.66,CLOSED,1.0,False,False
FL_1542,Flash_Reversal,SHORT,2025-05-08 15:42:00,195.74,2025-05-08 16:00:00,192.87,0.014662307142127334,SL_HIT,192.50775,191.55,CLOSED,0.2,True,True
FL_1839,Flash_Reversal,SHORT,2025-05-08 18:39:00,194.7,2025-05-08 19:09:00,194.4,0.001540832049306538,SL_HIT,194.28659999999996,193.32,CLOSED,0.2,True,True
FL_1953,Flash_Reversal,SHORT,2025-05-08 19:53:00,198.78,2025-05-08 20:19:00,197.31,0.007395110172049496,SL_HIT,197.04029999999997,196.06,CLOSED,0.2,True,True
FL_2050,Flash_Reversal,SHORT,2025-05-08 20:50:00,202.78,2025-05-08 21:06:00,203.26,-0.0023670973468783397,SL_HIT,202.78,202.78,CLOSED,0.4,True,False
FL_2141,Flash_Reversal,LONG,2025-05-08 21:41:00,202.6,2025-05-08 22:01:00,202.65,0.0002467917077986741,SL_HIT,202.8445,203.55,CLOSED,0.2,True,True
FL_0830,Flash_Reversal,SHORT,2025-05-09 08:30:00,216.91,2025-05-09 08:36:00,220.23,-0.01530588723433679,SL_HIT,220.16364999999996,216.91,CLOSED,1.0,False,False
FL_0911,Flash_Reversal,LONG,2025-05-09 09:11:00,209.51,2025-05-09 09:34:00,208.9,-0.0029115555343419658,SL_HIT,209.51,209.51,CLOSED,0.4,True,False
