Strategy,Side,PnL,Time,Reason
TREND,SHORT,-1.44,2025-11-05 15:30:00,SL_TRAIL
SWING,SHORT,-2.0,2025-11-05 16:30:00,SL_HIT
SWING,SHORT,-2.0,2025-11-05 16:45:00,SL_HIT
SWING,SHORT,-2.0,2025-11-05 17:00:00,SL_HIT
SWING,SHORT,-2.0,2025-11-05 17:15:00,SL_HIT
TREND,LONG,-1.48,2025-11-05 21:30:00,SL_TRAIL
TREND,LONG,-0.55,2025-11-06 00:00:00,SL_TRAIL
TREND,LONG,-0.86,2025-11-06 01:00:00,SL_TRAIL
TREND,LONG,0.2,2025-11-06 05:00:00,SL_TRAIL
TREND,LONG,-1.23,2025-11-06 10:00:00,SL_TRAIL
SWING,SHORT,3.0,2025-11-06 12:45:00,TP_HIT
TREND,SHORT,-1.12,2025-11-06 13:15:00,SL_TRAIL
SWING,SHORT,3.0,2025-11-06 14:30:00,TP_HIT
SWING,SHORT,3.0,2025-11-06 14:30:00,TP_HIT
TREND,SHORT,0.38,2025-11-06 15:15:00,SL_TRAIL
SWING,SHORT,3.0,2025-11-06 15:30:00,TP_HIT
TREND,SHORT,-0.13,2025-11-06 17:45:00,SL_TRAIL
TREND,SHORT,-0.86,2025-11-07 00:45:00,SL_TRAIL
TREND,SHORT,-1.69,2025-11-07 02:45:00,SL_TRAIL
TREND,SHORT,-1.67,2025-11-07 05:45:00,SL_TRAIL
SWING,SHORT,-2.0,2025-11-07 07:45:00,SL_HIT
SWING,SHORT,-2.0,2025-11-07 08:00:00,SL_HIT
SWING,SHORT,-2.0,2025-11-07 08:00:00,SL_HIT
TREND,LONG,-1.01,2025-11-07 10:15:00,SL_TRAIL
SWING,SHORT,3.0,2025-11-07 10:45:00,TP_HIT
SWING,SHORT,3.0,2025-11-07 11:00:00,TP_HIT
SWING,SHORT,3.0,2025-11-07 11:00:00,TP_HIT
TREND,SHORT,2.25,2025-11-07 14:30:00,SL_TRAIL
TREND,SHORT,-1.92,2025-11-07 15:15:00,SL_TRAIL
SWING,SHORT,-2.0,2025-11-07 16:15:00,SL_HIT
SWING,SHORT,-2.0,2025-11-07 16:30:00,SL_HIT
SWING,SHORT,-2.0,2025-11-07 16:30:00,SL_HIT
SWING,SHORT,-2.0,2025-11-07 17:15:00,SL_HIT
SWING,SHORT,-2.0,2025-11-07 17:15:00,SL_HIT
SWING,SHORT,-2.0,2025-11-07 17:15:00,SL_HIT
SWING,SHORT,-2.0,2025-11-07 20:30:00,SL_HIT
SWING,SHORT,-2.0,2025-11-07 21:00:00,SL_HIT
SWING,SHORT,-2.0,2025-11-07 21:15:00,SL_HIT
TREND,LONG,0.13,2025-11-07 23:00:00,SL_TRAIL
TREND,LONG,-1.0,2025-11-08 00:30:00,SL_TRAIL
TREND,LONG,-0.04,2025-11-08 03:45:00,SL_TRAIL
TREND,LONG,-0.47,2025-11-08 05:15:00,SL_TRAIL
SWING,LONG,-2.0,2025-11-08 05:30:00,SL_HIT
SWING,LONG,-2.0,2025-11-08 05:45:00,SL_HIT
SWING,LONG,-2.0,2025-11-08 05:45:00,SL_HIT
TREND,LONG,-1.24,2025-11-08 12:00:00,SL_TRAIL
SWING,LONG,-2.0,2025-11-08 14:00:00,SL_HIT
SWING,LONG,-2.0,2025-11-08 14:00:00,SL_HIT
SWING,LONG,-2.0,2025-11-08 15:30:00,SL_HIT
SWING,LONG,3.0,2025-11-08 16:30:00,TP_HIT
SWING,LONG,3.0,2025-11-08 16:30:00,TP_HIT
SWING,LONG,3.0,2025-11-08 16:30:00,TP_HIT
TREND,SHORT,-0.8,2025-11-08 22:45:00,SL_TRAIL
SWING,LONG,-2.0,2025-11-09 02:45:00,SL_HIT
TREND,SHORT,1.29,2025-11-09 05:45:00,SL_TRAIL
TREND,SHORT,-0.47,2025-11-09 11:00:00,SL_TRAIL
SWING,SHORT,-2.0,2025-11-09 12:15:00,SL_HIT
SWING,LONG,3.0,2025-11-09 14:15:00,TP_HIT
SWING,LONG,3.0,2025-11-09 14:15:00,TP_HIT
SWING,SHORT,-2.0,2025-11-09 14:15:00,SL_HIT
SWING,SHORT,-2.0,2025-11-09 19:45:00,SL_HIT
TREND,LONG,1.51,2025-11-10 00:00:00,SL_TRAIL
SWING,LONG,3.0,2025-11-10 01:15:00,TP_HIT
TREND,LONG,3.67,2025-11-10 08:00:00,SL_TRAIL
TREND,LONG,1.23,2025-11-10 12:45:00,SL_TRAIL
TREND,LONG,-0.4,2025-11-10 14:45:00,SL_TRAIL
TREND,LONG,0.3,2025-11-10 21:15:00,SL_TRAIL
SWING,LONG,3.0,2025-11-10 22:45:00,TP_HIT
SWING,LONG,3.0,2025-11-10 22:45:00,TP_HIT
SWING,LONG,3.0,2025-11-10 22:45:00,TP_HIT
TREND,LONG,1.37,2025-11-11 05:00:00,SL_TRAIL
SWING,LONG,-2.0,2025-11-11 05:30:00,SL_HIT
SWING,LONG,-2.0,2025-11-11 07:30:00,SL_HIT
SWING,LONG,-2.0,2025-11-11 14:00:00,SL_HIT
SWING,LONG,-2.0,2025-11-11 14:00:00,SL_HIT
