Trade_ID,Strategy,Mode,Side,Entry_Time,Entry_Price,status,Is_Risk_Free,Peak_Price,Rem_Qty,TP1_Hit,TP2_Hit,SL,Fibo_Target,Exit_Price,Exit_Time,Exit_Reason,PnL_Pct
G_040300,GAMMA,GAMMA_HEDGE,SHORT,2025-02-04 03:00:00,269.3,CLOSED,True,255.77,1.0,False,False,266.2665,257.1815,255.77,2025-02-04 05:00:00,TP_FULL,0.05024136650575566
G_041330,GAMMA,GAMMA_HEDGE,LONG,2025-02-04 13:30:00,268.61,CLOSED,False,268.61,1.0,False,False,264.58085,280.69745,264.57,2025-02-04 13:45:00,SL_HIT,-0.015040393135028555
G_050115,GAMMA,GAMMA_HEDGE,LONG,2025-02-05 01:15:00,268.9,CLOSED,True,273.54,1.0,False,False,272.19550000000004,281.00049999999993,270.74,2025-02-05 06:00:00,SL_HIT,0.006842692450725296
G_051900,GAMMA,GAMMA_HEDGE,SHORT,2025-02-05 19:00:00,259.71,CLOSED,False,256.25,1.0,False,False,263.60564999999997,248.02304999999998,263.61,2025-02-06 02:45:00,SL_HIT,-0.01501674945131121
S_061600,SWING,SWING_HEDGE,SHORT,2025-02-06 16:00:00,246.19,CLOSED,False,239.52,1.0,False,False,253.5757,216.6472,254.31,2025-02-07 11:45:00,SL_HIT,-0.032982655672448125
G_071030,GAMMA,GAMMA_HEDGE,LONG,2025-02-07 10:30:00,249.63,CLOSED,True,254.97,1.0,False,False,253.72185,260.86334999999997,252.89,2025-02-07 13:00:00,SL_HIT,0.013059327805151589
G_071200,GAMMA,GAMMA_HEDGE,LONG,2025-02-07 12:00:00,253.9,CLOSED,True,261.36,1.0,False,False,260.0905,265.3255,256.96,2025-02-07 14:30:00,SL_HIT,0.012051988972036132
S_071200,SWING,SWING_HEDGE,LONG,2025-02-07 12:00:00,254.97,CLOSED,False,261.36,1.0,False,False,247.3209,285.56640000000004,246.38,2025-02-07 16:45:00,SL_HIT,-0.033690238067223606
G_071800,GAMMA,GAMMA_HEDGE,SHORT,2025-02-07 18:00:00,246.43,CLOSED,True,233.79,1.0,False,False,237.60215,235.34065,233.79,2025-02-07 20:45:00,TP_FULL,0.05129245627561585
G_072245,GAMMA,GAMMA_HEDGE,SHORT,2025-02-07 22:45:00,233.97,CLOSED,False,233.97,1.0,False,False,237.47955,223.44135,238.05,2025-02-07 23:45:00,SL_HIT,-0.017438133093986462
G_081930,GAMMA,GAMMA_HEDGE,LONG,2025-02-08 19:30:00,239.32,CLOSED,True,243.81,1.0,False,False,242.6134,250.08939999999998,241.36,2025-02-09 02:15:00,SL_HIT,0.008524151763329518
S_080100,SWING,SWING_HEDGE,SHORT,2025-02-08 01:00:00,236.89,CLOSED,False,231.49,1.0,False,False,243.9967,208.4632,246.59,2025-02-09 03:15:00,SL_HIT,-0.04094727510658963
S_042200,SWING,SWING_NORMAL,SHORT,2025-02-04 22:00:00,267.85,CLOSED,True,231.49,0.39999999999999997,True,True,251.779,235.70800000000003,252.06,2025-02-09 03:30:00,SL_HIT,0.05895090535747627
S_090400,SWING,SWING_HEDGE,LONG,2025-02-09 04:00:00,248.93,CLOSED,False,249.47,1.0,False,False,241.4621,278.8016,240.46,2025-02-09 13:30:00,SL_HIT,-0.034025629695095004
S_091700,SWING,SWING_HEDGE,SHORT,2025-02-09 17:00:00,243.41,CLOSED,False,232.02,1.0,False,False,250.7123,214.2008,250.79,2025-02-10 08:00:00,SL_HIT,-0.030319214494063496
G_100545,GAMMA,GAMMA_HEDGE,LONG,2025-02-10 05:45:00,246.0,CLOSED,True,251.45,1.0,False,False,250.22,257.07,249.44,2025-02-10 08:45:00,SL_HIT,0.013983739837398364
S_110000,SWING,SWING_HEDGE,LONG,2025-02-11 00:00:00,259.31,CLOSED,False,261.2,1.0,False,False,251.5307,290.4272,251.49,2025-02-11 13:30:00,SL_HIT,-0.030156954995950766
G_111245,GAMMA,GAMMA_HEDGE,SHORT,2025-02-11 12:45:00,255.94,CLOSED,True,248.21,1.0,False,False,249.4897,244.4227,249.73,2025-02-11 14:00:00,SL_HIT,0.02426349925763854
